                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97676,                0.93944,                 1.3375,                0.72069,                0.56443,                0.56458,                0.30251,                 1.5811,                 1.3032,                 1.8525,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.9661,                0.93774,                 1.3244,                0.67661,                0.52232,                0.54491,                0.28381,                 1.5995,                 1.4691,                 1.8698,               0.001307,               0.001307,               0.001307
                     37,                0.96882,                0.93549,                 1.3233,                0.75578,                0.56473,                0.61007,                0.32127,                 1.5539,                 1.2756,                 1.8438,              0.0012872,              0.0012872,              0.0012872
                     38,                0.96623,                0.92006,                 1.3283,                0.77366,                0.56459,                0.61184,                0.32338,                 1.5602,                 1.2713,                 1.8335,              0.0012674,              0.0012674,              0.0012674
                     39,                0.98142,                0.94587,                 1.3349,                0.70952,                0.59152,                0.58731,                0.30742,                 1.6191,                 1.3212,                 1.9002,              0.0012476,              0.0012476,              0.0012476
                     40,                0.95908,                0.91171,                 1.3225,                 0.6991,                0.56473,                0.58139,                 0.3222,                 1.5141,                 1.3235,                 1.8097,              0.0012278,              0.0012278,              0.0012278
                     41,                0.96513,                0.91266,                 1.3178,                0.67361,                0.55743,                0.54384,                 0.3004,                 1.5181,                 1.5092,                  1.792,               0.001208,               0.001208,               0.001208
                     42,                0.97017,                0.91054,                 1.3241,                0.67786,                0.59183,                 0.5875,                0.32191,                 1.5542,                 1.2918,                 1.8461,              0.0011882,              0.0011882,              0.0011882
                     43,                0.95276,                0.89786,                 1.3212,                0.68992,                0.54018,                0.57564,                0.30297,                 1.5035,                  1.383,                 1.8067,              0.0011684,              0.0011684,              0.0011684
                     44,                0.95111,                0.88216,                 1.3133,                0.72438,                0.52798,                0.56297,                0.29843,                 1.5333,                 1.3516,                 1.8229,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.9296,                0.87947,                 1.3013,                0.68269,                0.54018,                0.57287,                0.31588,                 1.4901,                  1.262,                 1.7939,              0.0011288,              0.0011288,              0.0011288
                     46,                0.92437,                 0.8833,                 1.3045,                  0.721,                0.57106,                0.57877,                0.30227,                 1.5555,                 1.3551,                 1.8372,               0.001109,               0.001109,               0.001109
                     47,                0.93593,                0.88427,                  1.309,                0.74395,                0.54018,                0.58266,                0.31547,                 1.4938,                 1.3129,                 1.7937,              0.0010892,              0.0010892,              0.0010892
                     48,                0.91463,                0.86802,                  1.294,                0.70961,                0.54018,                0.57175,                0.32065,                 1.5096,                 1.2988,                 1.8239,              0.0010694,              0.0010694,              0.0010694
                     49,                0.91547,                0.86172,                  1.296,                0.70831,                0.54464,                0.56258,                0.30806,                 1.5396,                  1.315,                 1.8477,              0.0010496,              0.0010496,              0.0010496
                     50,                0.92551,                0.85233,                 1.2967,                0.74144,                0.55048,                0.57077,                0.30906,                 1.5597,                 1.3131,                 1.8611,              0.0010298,              0.0010298,              0.0010298
                     51,                0.90108,                0.82813,                 1.2865,                0.63784,                 0.5692,                0.56959,                0.30861,                 1.5093,                 1.3287,                 1.7923,                0.00101,                0.00101,                0.00101
                     52,                0.91185,                0.84337,                 1.2941,                 0.7193,                0.55484,                0.58541,                0.32564,                 1.4928,                  1.325,                 1.7785,              0.0009902,              0.0009902,              0.0009902
