                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54641,                0.52824,                 1.1424,                0.97077,                0.95819,                0.98758,                0.86573,                 0.5466,                0.37714,                 1.0691,             0.00072604,             0.00072604,             0.00072604
                     37,                0.55806,                0.52999,                 1.1533,                0.95874,                0.97174,                0.98758,                 0.8522,                 0.5641,                0.36674,                 1.0966,             0.00071504,             0.00071504,             0.00071504
                     38,                0.53486,                0.51029,                 1.1414,                0.97545,                  0.985,                0.99298,                0.87241,                0.54352,                0.35995,                 1.0725,             0.00070404,             0.00070404,             0.00070404
                     39,                0.55185,                0.51292,                 1.1492,                 0.9468,                  0.995,                0.97968,                0.87164,                 0.5311,                0.35885,                 1.0656,             0.00069304,             0.00069304,             0.00069304
                     40,                0.54004,                0.49477,                 1.1376,                0.95133,                0.97567,                0.98375,                0.84229,                0.62973,                0.39778,                 1.1557,             0.00068204,             0.00068204,             0.00068204
                     41,                0.53447,                0.49587,                 1.1281,                0.95558,                  0.995,                0.98181,                0.87432,                0.51242,                0.37744,                 1.0387,             0.00067104,             0.00067104,             0.00067104
                     42,                0.51958,                0.48205,                 1.1273,                0.95038,                0.96696,                 0.9747,                0.85686,                0.55006,                0.36387,                 1.0946,             0.00066005,             0.00066005,             0.00066005
                     43,                 0.5153,                0.47751,                 1.1232,                0.96459,                0.97681,                 0.9853,                0.88078,                0.51607,                0.33063,                 1.0461,             0.00064905,             0.00064905,             0.00064905
                     44,                0.52634,                0.49374,                  1.131,                0.99173,                0.98622,                0.99414,                0.87176,                0.56162,                0.33252,                 1.0705,             0.00063805,             0.00063805,             0.00063805
                     45,                0.50814,                0.47222,                 1.1196,                0.95658,                0.99095,                0.98747,                0.88102,                0.51904,                0.34905,                 1.0531,             0.00062705,             0.00062705,             0.00062705
                     46,                0.50216,                0.46015,                 1.1173,                0.94412,                0.97985,                 0.9841,                0.87043,                0.52607,                0.34804,                 1.0546,             0.00061605,             0.00061605,             0.00061605
                     47,                0.49342,                0.46181,                 1.1069,                 0.9635,                0.99546,                0.98982,                 0.8792,                 0.5126,                0.35835,                 1.0298,             0.00060505,             0.00060505,             0.00060505
                     48,                0.50653,                0.46461,                 1.1173,                 0.9448,                0.95529,                0.97294,                0.85968,                0.52004,                0.41129,                 1.0622,             0.00059405,             0.00059405,             0.00059405
                     49,                0.49704,                0.43743,                 1.1067,                0.97461,                0.98781,                 0.9935,                0.86701,                0.55263,                 0.3308,                 1.0776,             0.00058305,             0.00058305,             0.00058305
                     50,                0.49626,                0.45141,                  1.112,                0.98655,                0.96895,                0.99296,                0.88969,                0.49751,                0.30595,                 1.0357,             0.00057205,             0.00057205,             0.00057205
                     51,                0.49655,                0.44863,                 1.1153,                0.96992,                   0.98,                0.99122,                0.88541,                0.50405,                0.32484,                 1.0443,             0.00056105,             0.00056105,             0.00056105
                     52,                0.48311,                0.43638,                 1.1003,                0.98068,                  0.975,                0.99219,                0.87901,                0.54794,                0.31413,                 1.1051,             0.00055006,             0.00055006,             0.00055006
                     53,                 0.4915,                0.44355,                  1.108,                0.97732,                0.96462,                 0.9854,                0.87906,                0.48987,                0.34003,                 1.0258,             0.00053906,             0.00053906,             0.00053906
                     54,                0.47473,                 0.4217,                 1.0983,                0.97259,                0.98698,                0.99164,                0.88471,                 0.5126,                0.28728,                 1.0464,             0.00052806,             0.00052806,             0.00052806
                     55,                 0.4651,                0.41261,                 1.0901,                0.96727,                  0.975,                0.99119,                  0.889,                0.49721,                 0.3131,                 1.0342,             0.00051706,             0.00051706,             0.00051706
                     56,                0.47126,                0.41641,                 1.0932,                0.97626,                0.99765,                0.99381,                0.89315,                0.51023,                0.29894,                 1.0374,             0.00050606,             0.00050606,             0.00050606
                     57,                0.46801,                0.40967,                 1.0979,                0.98327,                  0.995,                0.99302,                0.88448,                0.50146,                0.30057,                 1.0414,             0.00049506,             0.00049506,             0.00049506
                     58,                0.47513,                0.41336,                 1.0955,                0.98261,                   0.99,                0.99339,                0.89258,                0.51655,                0.32764,                 1.0586,             0.00048406,             0.00048406,             0.00048406
                     59,                0.46342,                 0.4115,                 1.0877,                 0.9766,                0.98966,                 0.9923,                  0.903,                0.48657,                0.31312,                 1.0092,             0.00047306,             0.00047306,             0.00047306
                     60,                0.47341,                0.42147,                 1.0995,                0.96645,                0.99157,                 0.9882,                0.89496,                0.49923,                0.30371,                 1.0247,             0.00046206,             0.00046206,             0.00046206
                     61,                0.44462,                0.39939,                  1.076,                0.99206,                  0.979,                 0.9923,                 0.8897,                0.50845,                0.30438,                 1.0509,             0.00045107,             0.00045107,             0.00045107
                     62,                0.44736,                0.39647,                 1.0778,                0.99198,                0.98301,                0.99363,                0.90349,                0.47253,                0.31827,                 1.0152,             0.00044007,             0.00044007,             0.00044007
                     63,                0.45967,                 0.4009,                 1.0834,                0.98503,                  0.985,                0.99297,                0.90197,                 0.4842,                0.29726,                 1.0081,             0.00042907,             0.00042907,             0.00042907
                     64,                0.44455,                0.39225,                 1.0751,                 0.9852,                0.98334,                0.99383,                0.90062,                0.48995,                0.29777,                 1.0205,             0.00041807,             0.00041807,             0.00041807
                     65,                0.44227,                0.38859,                 1.0747,                0.97554,                0.99094,                0.98808,                0.89406,                0.46886,                0.28982,                 1.0087,             0.00040707,             0.00040707,             0.00040707
                     66,                0.43944,                0.38639,                 1.0693,                0.97591,                0.98763,                0.99294,                 0.9055,                0.46041,                0.28896,                0.99017,             0.00039607,             0.00039607,             0.00039607
                     67,                0.44518,                0.39748,                 1.0839,                0.96857,                0.98615,                0.99086,                0.90184,                0.45898,                0.29021,                  1.002,             0.00038507,             0.00038507,             0.00038507
                     68,                0.43557,                0.38696,                 1.0832,                0.97568,                0.99348,                0.99324,                0.89866,                0.46546,                0.27973,                0.99627,             0.00037407,             0.00037407,             0.00037407
                     69,                0.44964,                0.39034,                 1.0798,                0.98456,                   0.98,                0.99114,                0.90209,                0.45622,                0.28638,                0.97949,             0.00036307,             0.00036307,             0.00036307
                     70,                0.42777,                0.36825,                  1.064,                0.98079,                0.99451,                 0.9857,                 0.8963,                0.45751,                0.28266,                0.98252,             0.00035208,             0.00035208,             0.00035208
                     71,                 0.4324,                0.37524,                 1.0731,                0.98152,                   0.99,                0.99369,                0.89963,                0.49799,                0.29445,                 1.0197,             0.00034108,             0.00034108,             0.00034108
                     72,                0.43169,                0.37142,                   1.07,                0.97953,                0.98977,                0.99342,                0.91485,                0.45805,                0.27004,                0.98592,             0.00033008,             0.00033008,             0.00033008
                     73,                 0.4215,                 0.3585,                 1.0614,                0.99074,                0.98804,                0.99218,                0.91166,                0.48062,                0.27621,                 1.0041,             0.00031908,             0.00031908,             0.00031908
                     74,                0.41129,                0.35145,                 1.0554,                0.97369,                  0.995,                0.99247,                0.90604,                 0.4674,                0.27553,                0.98995,             0.00030808,             0.00030808,             0.00030808
                     75,                0.42356,                0.36465,                 1.0609,                0.97779,                0.98242,                0.98757,                0.90888,                0.45136,                0.28231,                0.96885,             0.00029708,             0.00029708,             0.00029708
                     76,                0.40563,                0.35644,                 1.0553,                0.98799,                 0.9781,                0.99229,                0.90228,                0.46637,                0.26698,                0.98646,             0.00028608,             0.00028608,             0.00028608
                     77,                0.40914,                0.36007,                 1.0525,                0.98124,                0.98507,                0.99003,                0.90684,                0.44492,                0.26017,                0.96409,             0.00027508,             0.00027508,             0.00027508
                     78,                0.41588,                0.36033,                 1.0507,                0.98494,                0.98969,                0.99304,                 0.9112,                0.43323,                0.25445,                0.96157,             0.00026408,             0.00026408,             0.00026408
                     79,                0.40453,                0.35018,                  1.048,                0.98277,                  0.995,                0.99448,                0.91392,                0.44243,                0.26327,                0.96771,             0.00025309,             0.00025309,             0.00025309
                     80,                0.39913,                0.34453,                 1.0481,                0.98651,                   0.99,                0.99332,                0.91103,                0.45041,                 0.2658,                0.97001,             0.00024209,             0.00024209,             0.00024209
                     81,                0.39918,                0.34556,                 1.0477,                0.99172,                  0.985,                0.99433,                0.90606,                0.46823,                0.26117,                0.99499,             0.00023109,             0.00023109,             0.00023109
                     82,                0.39271,                0.32996,                 1.0447,                0.99306,                 0.9879,                0.99419,                0.91125,                0.44134,                 0.2573,                0.96421,             0.00022009,             0.00022009,             0.00022009
                     83,                 0.3893,                0.33355,                 1.0415,                0.99396,                  0.985,                0.99442,                0.91161,                0.45298,                0.26626,                0.97699,             0.00020909,             0.00020909,             0.00020909
                     84,                0.39201,                0.32409,                 1.0413,                0.98744,                  0.995,                0.99456,                0.91334,                0.44444,                0.25715,                0.96807,             0.00019809,             0.00019809,             0.00019809
                     85,                0.38711,                0.31902,                  1.034,                0.99565,                0.98339,                0.99423,                0.91258,                0.43452,                0.25349,                0.96206,             0.00018709,             0.00018709,             0.00018709
                     86,                0.39069,                0.32436,                 1.0449,                0.98913,                0.99411,                 0.9942,                0.90805,                0.45356,                0.25698,                0.98381,             0.00017609,             0.00017609,             0.00017609
                     87,                0.38236,                0.33086,                  1.038,                0.98464,                0.99188,                 0.9944,                0.91305,                0.45025,                0.26059,                0.97892,             0.00016509,             0.00016509,             0.00016509
                     88,                0.37879,                  0.325,                 1.0398,                0.98757,                  0.995,                0.99456,                0.90892,                0.44661,                0.25427,                0.97781,              0.0001541,              0.0001541,              0.0001541
                     89,                 0.3789,                0.31914,                 1.0328,                 0.9956,                0.98808,                0.99412,                0.91029,                0.44227,                0.25149,                0.97472,              0.0001431,              0.0001431,              0.0001431
                     90,                0.38649,                0.32176,                 1.0426,                 0.9906,                  0.995,                0.99456,                0.91352,                0.44157,                0.25233,                0.96803,              0.0001321,              0.0001321,              0.0001321
                     91,                0.32553,                0.25378,                 1.0485,                 0.9939,                  0.975,                0.99375,                0.90227,                0.44381,                 0.2647,                0.97976,              0.0001211,              0.0001211,              0.0001211
                     92,                0.31346,                0.22301,                  1.041,                 0.9816,                   0.99,                0.99407,                 0.9133,                0.42558,                 0.2529,                0.95855,              0.0001101,              0.0001101,              0.0001101
                     93,                0.30169,                0.20926,                  1.028,                0.98088,                0.99617,                0.99441,                0.91047,                0.44484,                0.24927,                0.97413,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.30298,                0.20977,                 1.0351,                0.98227,                  0.995,                0.99441,                0.91296,                0.42851,                0.24817,                0.96068,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.29503,                0.20657,                 1.0274,                0.99377,                   0.98,                 0.9935,                0.91022,                0.44048,                0.25123,                0.97146,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.29416,                 0.2046,                 1.0263,                0.99427,                   0.98,                0.99273,                0.91466,                0.43194,                0.24743,                0.96249,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.29307,                0.20766,                 1.0252,                0.98998,                   0.98,                0.99289,                 0.9106,                0.43794,                0.24721,                0.96569,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.28251,                0.19612,                 1.0154,                 0.9944,                   0.98,                0.99348,                 0.9172,                0.42902,                0.24729,                0.96163,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.28437,                0.19334,                 1.0134,                0.98695,                  0.985,                0.99439,                 0.9163,                0.43082,                0.24427,                 0.9593,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.28058,                0.19585,                 1.0076,                0.99304,                0.98206,                0.99392,                0.91724,                0.42314,                0.24349,                0.95301,             2.2109e-05,             2.2109e-05,             2.2109e-05
